"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK_CLEAN_55_PERFEITO_SAVE_Block_Arduino_25_PERFECT_DOC_BREED_aligned_BEHAVIOR_work2_SIMILARITY_SEGREGATION_CENTROIDE_work.nlogo"
"experiment_centroid"
"06/30/2022 20:22:16:617 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","( sum [ state ] of turtles with [ breed = clients ] ) /  (( 1 - frac-providers) * N-turtles)","( sum [ state ] of turtles with [ breed = service-providers ] ) /  ( frac-providers * N-turtles )","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","9","1.9852941176470589","3.1666666666666665","0.16041666666666668","false","0.38462561262790107","1","0.5668156663993518","-1.5453892608819781"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","9","2.026315789473684","4","0.1670833333333333","false","0.3946703643578645","0.625","-0.4701010992776178","0.3129767199389919"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","9","1.7236842105263157","8.5","0.14416666666666667","false","0.4352777777777779","0.2","-0.5817922450009556","0.6899996971540319"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","9","1.6470588235294117","4.75","0.16958333333333334","false","0.3712400793650794","0.225","-1.0192770061373853","1.8928516869561267"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","10","2.1176470588235294","3.0833333333333335","0.1541666666666667","false","0.5009519830659538","0.5125","0.7839584437509416","-0.37380296102497657"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","10","2.736842105263158","0.25","0.12291666666666667","false","0.4449652777777778","0.4375","-0.36583312491800796","-0.9533750141097874"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","10","2.223684210526316","4.5","0.18916666666666668","false","0.3942009483783677","2.025","-0.9634048332870204","0.5208788549224721"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","10","2.210526315789474","1.5","0.15208333333333335","false","0.4911904761904763","0.45","0.35449831537366294","1.2909314203985516"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","10","2.588235294117647","2.75","0.13291666666666666","false","0.41880463061190626","1.0125","2.0331082624497254","0.18956105785731298"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","10","2.1447368421052633","1.5","0.16499999999999998","false","0.4483375891609251","1.2375","1.2656702462452751","-0.08932271259135442"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","10","2.276315789473684","1.25","0.11041666666666668","false","0.3126367380400063","5.924999999999999","2.1044252275548927","-2.291068603481306"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","10","1.881578947368421","5.5","0.075","false","0.37447688737330675","0.675","-1.889636943494206","0.037216038366407724"
